3.15,-96.3,35.091,5,2006,3,15,8,30,25.8,0.25,3.15,1.18,PDE|md,3.00MDTUL,3
3.15,-96.178,34.836,5,2006,3,15,8,30,27.1,0.25,3.15,1.18,OGS|md,3MdOGS,3
3.08,-97.368,34.589,5,2006,8,9,9,41,50.9,0.25,3.08,1.18,PDE|md,2.90MDTUL,2.9
3.18,-97.625,34.122,5,2006,10,6,22,13,16.7,0.24,3.18,1.165,PDE|mg,3.50LgGS,3.5
3.08,-97.627,34.153,5,2006,11,2,11,12,20.3,0.25,3.08,1.18,PDE|md,2.90MDTUL,2.9
3.31,-95.976,35.149,5,2007,5,27,21,3,22.1,0.25,3.31,1.18,PDE|md,3.20MDTUL,3.2
3.23,-97.02,35.882,5,2008,6,9,22,59,46.4,0.25,3.23,1.18,OGS|md,3.1MdOGS,3.1
3.23,-96.767,35.346,5,2008,6,9,22,59,47.1,0.25,3.23,1.18,PDE|md,3.10MDTUL,3.1
3.08,-97.871,35.163,5,2009,1,28,11,19,9.4,0.24,3.08,1.165,PDE|mg,3.40LgGS,3.4
3.08,-97.456,35.446,5,2009,3,8,13,6,39.9,0.24,3.08,1.165,PDE|mg,3.40LgGS,3.4
3.08,-96.85,35.659,5,2009,6,14,21,31,9,0.24,3.08,1.165,PDE|mg,3.40LgGS,3.4
3.38,-97.467,36.361,5,2009,6,26,21,23,13.7,0.24,3.38,1.165,PDE|mg,3.70LgGS,3.7
3.08,-97.169,35.547,5,2009,7,1,17,14,48.2,0.24,3.08,1.165,PDE|mg,3.40LgTUL,3.4
3.08,-96.618,34.942,5,2009,8,27,8,22,14.5,0.24,3.08,1.165,PDE|mg,3.40LgTUL,3.4
3.18,-97.29,35.565,5,2009,8,28,2,9,6,0.24,3.18,1.165,PDE|mg,3.50LgGS,3.5
3.18,-97.25,35.556,5,2009,12,7,17,44,25.1,0.24,3.18,1.165,PDE|mg,3.50LgGS,3.5
3.28,-97.285,35.587,5,2009,12,13,8,38,25.8,0.24,3.28,1.165,PDE|mg,3.60LgGS,3.6
3.81,-97.26,35.59,8,2010,1,15,15,18,26,0.1,3.79,1.027,SLU|wo,3.81,3.81
3.67,-97.28,35.57,8,2010,1,15,15,27,2,0.1,3.65,1.027,SLU|wo,3.67,3.67
